,Name,Price,Rating,Image
87,"Walkent Stylish 15.6"" Large Laptop Bag | Premium Leather | Flap & Zipper Closure | Waterproof | USB | Side Pockets |For Men, Women, Office, College - Ritzy (28 Ltr, 1 Main Compartment)","2,840",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61M8Z8FrhEL._AC_UL640_QL65_.jpg
89,"Walkent Stylish 15.6"" Large Laptop Bag | Premium Leather | Flap & Zipper Closure | Waterproof | USB | Side Pockets |For Men, Women, Office, College - Ritzy (28 Ltr, 1 Main Compartment)","2,840",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61M8Z8FrhEL._AC_UL640_QL65_.jpg
96,"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/1 Year Warranty/Arctic Grey/1.65Kg), 82H803LPIN","27,990",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61nC5tJlUEL._AC_UY218_.jpg
97,"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/1 Year Warranty/Arctic Grey/1.65Kg), 82H803LPIN","55,990",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61nC5tJlUEL._AC_UY218_.jpg
98,Fujitsu UH-X 13th Gen Intel Evo Core i5 14 inch(35.5cm) FHD Thin & Light Laptop (16GB/512GB SSD)/Windows11/Iris Xe Graphics/Backlit/Fingerprint Reader/Black/868gm - 4ZR1M37246 w/Sleeve,"86,990",3.6 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/714TjZtB+hL._AC_UY218_.jpg
100,"MSI Modern 15, Intel 13th Gen. i5-1335U, 40CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Iris Xe Graphics/Star Blue/1.7Kg), B13M-291IN","44,990",4.4 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61Jd7B7+CgL._AC_UY218_.jpg
101,"Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" (25cm) HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN","24,990",3.8 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51gkDWHPvQL._AC_UY218_.jpg
102,"Acer Aspire Lite Premium Metal Laptop 11th Gen Intel Core Ci7-1165G7 Thin and Light Laptop (Windows 11 Home/16GB RAM/1TB SSD/MS Office) AL15-51, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","49,990",3.7 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/617rprfdhRL._AC_UY218_.jpg
103,"ASUS Vivobook 15, Intel Core i7-12650H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ741WS","60,990",3.9 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71c0GSxtEEL._AC_UY218_.jpg
104,AVITA PURA E NS14A6 Thin & Light 14 (35.56cm) Laptop (AMD R5-3500U/8 GB/512GB SSD/HD TFT Display/Windows 10 Home/Radeon Vega 8 Graphics) 1.344 kg Ink Black (NS14A6INV561-IBB),"21,990",1.8 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71wmS+SzePL._AC_UY218_.jpg
105,"Acer Aspire 3 Thin and Light Laptop Intel Core i5 12th Generation (Windows 11 Home/8 GB/512 GB SSD) A315-59 with 15.6-inch (39.6 cms) Full HD Display, 1.7 KG, Pure Silver","39,990",1.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81eW38mGOWL._AC_UY218_.jpg
106,"Dell 15 Laptop, Intel Core i5-1135G7 Processor/16GB DDR4/512GB SSD/Intel UHD Graphic/15.6"" (39.562cm) FHD Display/Win 11+MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon/Thin & Light 1.69kg","50,790",3.5 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51CTXHQux0L._AC_UY218_.jpg
107,"Dell Inspiron 5330 Laptop, Intel Evo Platform Powered by Intel Core i7-1360P Processor/16GB LP DDR5/1TB SSD/13.3"" (33.78cm) QHD+ 300 nits/Win 11 + MSO'21/15 Month McAfee/Platinum Silver/1.24kg","98,990",5.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51knB0kDDCL._AC_UY218_.jpg
108,"Samsung Galaxy Book2 (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg), NP750XED-KC1IN","54,990",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71VETao+NEL._AC_UY218_.jpg
